ประเภทโคมไฟ,ทิศทางที่ตั้ง (LT/RT/MD),สถานะ,ชนิดของหลอดไฟ,ตู้คอนโทรล,วันที่ก่อสร้าง,สัญญาที่,สายทาง,ตอนควบคุม,กม.,วันที่ซ่อมครั้งล่าสุด,สาเหตุการเสียหาย,วิธีการซ่อม,หมายเหตุ,Lat,Long
sg,rt73,,,,,,212,0301,248+557,,,,, 17.7532,104.3146
sg,rt74,,,,,,212,0301,248+604,,,,, 17.7531,104.3151
sg,rt75,,,,,,212,0301,248+651,,,,, 17.7530,104.3155
sg,rt76,,,,,,212,0301,303+320,,,,, 17.4794,104.7245
sg,rt77,,,,,,212,0301,303+340,,,,, 17.4793,104.7246
sg,rt78,,,,,,212,0301,303+373,,,,, 17.4790,104.7247
sg,rt79,,,,,,212,0301,303+406,,,,, 17.4787,104.7248
sg,rt80,,,,,,212,0301,303+441,,,,, 17.4784,104.7250
sg,rt81,,,,,,212,0301,303+469,,,,, 17.4782,104.7251
sg,rt82,,,,,,212,0301,303+514,,,,, 17.4778,104.7252
sg,rt83,,,,,,212,0301,303+599,,,,, 17.4771,104.7255
sg,rt84,,,,,,212,0301,303+672,,,,, 17.4765,104.7257
sg,rt85,,,,,,212,0301,303+749,,,,, 17.4758,104.7260
sg,rt86,,,,,,212,0301,303+819,,,,, 17.4753,104.7262
sg,rt87,,,,,,212,0301,304+403,,,,, 17.4721,104.7302
sg,rt88,,,,,,212,0301,304+438,,,,, 17.4719,104.7305
sg,rt89,,,,,,212,0301,304+508,,,,, 17.4717,104.7311
sg,rt90,,,,,,212,0301,304+548,,,,, 17.4716,104.7315
sg,rt91,,,,,,212,0301,304+588,,,,, 17.4713,104.7317
sg,rt92,,,,,,212,0301,304+618,,,,, 17.4711,104.7319
sg,rt93,,,,,,212,0301,304+648,,,,, 17.4708,104.7320
sg,rt94,,,,,,212,0301,304+688,,,,, 17.4705,104.7323
sg,rt95,,,,,,212,0301,304+718,,,,, 17.4703,104.7324
sg,rt96,,,,,,212,0301,304+762,,,,, 17.4700,104.7326
sg,rt97,,,,,,212,0301,304+792,,,,, 17.4698,104.7328
sg,rt98,,,,,,212,0301,304+855,,,,, 17.4693,104.7331
sg,rt99,,,,,,212,0301,304+930,,,,, 17.4688,104.7335
sg,rt100,,,,,,212,0301,305+033,,,,, 17.4681,104.7340
sg,rt101,,,,,,212,0301,305+092,,,,, 17.4676,104.7343
sg,rt102,,,,,,212,0301,305+192,,,,, 17.4669,104.7348
sg,rt103,,,,,,212,0301,305+232,,,,, 17.4666,104.7350
sg,rt104,,,,,,212,0301,305+257,,,,, 17.4664,104.7352
sg,rt105,,,,,,212,0301,305+289,,,,, 17.4661,104.7354
sg,rt106,,,,,,212,0301,305+329,,,,, 17.4658,104.7356
sg,rt107,,,,,,212,0301,305+369,,,,, 17.4655,104.7358
sg,rt108,,,,,,212,0301,305+399,,,,, 17.4653,104.7360
sg,rt109,,,,,,212,0301,305+444,,,,, 17.4649,104.7362
sg,rt110,,,,,,212,0301,305+471,,,,, 17.4647,104.7364
sg,rt111,,,,,,212,0301,305+496,,,,, 17.4645,104.7365
sg,rt112,,,,,,212,0301,305+536,,,,, 17.4642,104.7367
sg,rt113,,,,,,212,0301,305+566,,,,, 17.4640,104.7368
sg,rt114,,,,,,212,0301,305+622,,,,, 17.4636,104.7372
